iter	MAP:top=10
0	0.1345881012
1	0.2048819665
2	0.2207773238
3	0.2236801986
4	0.2268347059
5	0.2311897255
6	0.2317855934
7	0.2334175237
8	0.2382113059
9	0.2389488254
10	0.2406800251
11	0.2415787932
12	0.2429824329
13	0.2450402561
14	0.2450872621
15	0.2455350247
16	0.2459617403
17	0.2468790755
18	0.2471194555
19	0.2477480778
20	0.2485129559
21	0.2486956395
22	0.2496292763
23	0.2500654919
24	0.250020811
25	0.2508014719
26	0.251582317
27	0.2524231218
28	0.2525492076
29	0.2529341986
30	0.2533311363
31	0.2538335604
32	0.2539971696
33	0.2543207765
34	0.2554082153
35	0.2554400212
36	0.2553460558
37	0.2558478675
38	0.2563313058
39	0.2560573294
40	0.2564073167
41	0.2564912547
42	0.2569307773
43	0.257302363
44	0.2575128005
45	0.2575063832
46	0.2579560613
47	0.2579155068
48	0.257913104
49	0.257996312
50	0.2582989809
51	0.2584520153
52	0.2585916413
53	0.2589618
54	0.2591553373
55	0.2593812825
56	0.2595714204
57	0.2597252076
58	0.2597573306
59	0.2599883468
60	0.2602315457
61	0.2601990599
62	0.2599996282
63	0.2600499649
64	0.2599979075
65	0.2605133006
66	0.2609301846
67	0.2611982665
68	0.26165812
69	0.2619647427
70	0.2619777842
71	0.2621059423
72	0.2621917575
73	0.2621529461
74	0.2620824359
75	0.2622120027
76	0.2624807653
77	0.2626200266
78	0.2630035263
79	0.2629197709
80	0.2628438392
81	0.2630322216
82	0.2628321625
83	0.262846485
84	0.2630867948
85	0.2633726442
86	0.2632827208
87	0.2638472403
88	0.2642678172
89	0.2646723528
90	0.2649141126
91	0.2652936348
92	0.2652536867
93	0.2653713768
94	0.2652351875
95	0.2655163555
96	0.2653886264
97	0.2656317924
98	0.2654248917
99	0.2658311415
100	0.2657765104
101	0.2659090196
102	0.2662973378
103	0.2664632892
104	0.2667208716
105	0.266735222
106	0.2672202058
107	0.2675637098
108	0.2677582741
109	0.2681268298
110	0.2683768291
111	0.2684549893
112	0.2686551224
113	0.268667726
114	0.2689949509
115	0.2694122045
116	0.2693799526
117	0.2696454395
118	0.2694888732
119	0.2700300336
120	0.2700649847
121	0.269988328
122	0.2704176913
123	0.2706872515
124	0.2706132443
125	0.2708588
126	0.2711011737
127	0.2713377565
128	0.2716349859
129	0.2717551857
130	0.2718071751
131	0.2717187139
132	0.2717765254
133	0.2717019505
134	0.271933658
135	0.2720666067
136	0.272225007
137	0.2726659992
138	0.2724710219
